"CODE","VALUE"
1,Clay (heavy)
2,Silty clay
3,Clay (light)
4,Silty clay loam
5,Clay loam
6,Silt
7,Silt loam
8,Sandy clay
9,Loam
10,Sandy clay loam
11,Sandy loam
12,Loamy sand
13,Sand
