VALUE,AWC
Clay (heavy),175
Silty clay,175
Clay (light),175
Silty clay loam,158
Clay loam,158
Silt,158
Silt loam,158
Sandy clay,175
Loam,158
Sandy clay loam,158
Sandy loam,125
Loamy sand,75
Sand,75
